Input,Analysis,Overall Valence,Overall Arousal
James feels good about winning $45. Although $60 or $90 would be better; $45 still isn't too bad so James should feel okay about it.,"{'content': [6.06, 4.7, ['okay'], 1], 'unfortunate': [4.25, 6.25, ['not very bad'], 1], 'happy': [7.47, 5.43, ['good'], 1]}",5.93,6.25
Great will get half and spend it get the second half and save it.  May be go to a movie.  Buy me a telescope.,"{'great': [8.5, 8.5, ['great'], 1]}",8.5,8.5
David should feel okay. While he won the least he could. He should have expected that since that piece is largest and has the largest chance of having the spin land there. He might not be overjoyed but at least he has $45 more then he did before the spin.,"{'content': [6.06, 4.7, ['okay'], 1], 'excited': [3.26, 1.52, ['not overjoyed'], 1]}",4.66,4.7
jacob feels  good. Not as much as he was hoping for but still good,"{'inspired': [3.72, 2.41, ['not hoping'], 1], 'happy': [7.47, 5.43, ['good'], 2]}",6.22,5.43
a bit bummed out that he was so close to winning $90.  But he still has some money and that's okay.,"{'content': [6.06, 4.7, ['okay'], 1], 'sad': [2.39, 4.78, ['bummed'], 1]}",4.23,4.78
I think Eric David figured he most likely would win the lowest amount ;so is not too disappointed. He realized he held the highest chance of winning the lowest amount of money.,"{'disappointed': [4.14, 6.67, ['not very disappointed'], 1]}",4.14,6.663
probably not that happy because he won the lowest prize ,"{'happy': [3.39, 1.67, ['not happy'], 1]}",3.39,1.666999999999999
He would feel positive.,"{'happy': [8.0, 5.97, ['positive'], 1]}",8.0,5.97
James is disappointed to win the lowest amount of money; but not taken by surprise.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1]}",2.39,4.92
Given how much of the section is 45; he probably expected this to be the case. Though he is probably a bit disappointed because it stopped so close to 90 and he probably wishes it had stopped sooner. He is probably happy and disappointed; too.,"{'happy': [8.22, 6.49, ['happy'], 1], 'disappointed': [2.39, 4.92, ['disappointed'], 2], 'fortunate': [7.09, 5.16, ['wishes'], 1]}",5.03,6.49
Scott is glad for the $45; but probably wished he had beaten the odds and won the $90 instead.,"{'fortunate': [7.09, 5.16, ['glad'], 1]}",7.09,5.16
Coin flip! Still got a payday!,{},0,0
david is happy.\ndavid is excited.\nhe wishes it was the $90 or $60,"{'fortunate': [7.09, 5.16, ['wishes'], 1]}",7.09,5.16
He felt great that he landed on the second highest prize. He has extra money for the weekend.,"{'great': [8.5, 8.5, ['great'], 1]}",8.5,8.5
He felt amazing.,"{'great': [9.0, 6.0, ['amazing'], 1]}",9.0,6.0
a little happy since he won more money than he was likely to win.,"{'happy': [7.22, 5.49, ['a little happy'], 1]}",7.22,5.49
Not bad. At least I didn't get the $45!,"{'unfortunate': [5.25, 7.25, ['not bad'], 1]}",5.25,7.25
John was probably moderately happy he won $60;  Its 30 less than the largest prize but still more than the overall most likely spin result.,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
He feels decent. He didn't win the most money; but he beat the odds and won more than $45; the largest sized portion.,"{'content': [6.06, 4.7, ['decent'], 1]}",6.06,4.7
Eric just won $60 and is pretty pleased with himself.  He can't wait to spend it on his backyard project!,"{'happy': [7.01, 4.97, ['a little pleased'], 1]}",7.01,4.97
Happy that he did better than $45 since it is the largest section by far.,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
again happy to win,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
Jacob probably feels pretty good. He's probably disappointed he didn't get 90; but relieved to not have gotten 45. He probably wasn't expecting to get 90 anyway; so 60 is still a nice surprise.,"{'fortunate': [7.09, 5.16, ['relieved'], 1], 'disappointed': [2.39, 4.92, ['disappointed'], 1], 'happy': [6.47, 4.43, ['a little good'], 1]}",5.32,5.16
Scott feels good about the spin. He won the middle amount and that's not bad.,"{'unfortunate': [5.25, 7.25, ['not bad'], 1], 'happy': [7.47, 5.43, ['good'], 1]}",6.36,7.25
Happy but wishing it was the $90,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
Awesome work! 60 is as good as it gets here.,"{'great': [9.0, 6.0, ['awesome'], 1], 'happy': [7.47, 5.43, ['good'], 1]}",8.24,6.0
Eric should be happy.  He obviously had a very good chance of winning the lowest amount.  60 is respectable winnings.  If he would have spun the darn thing just a little harder.,"{'happy': [8.34, 6.46, ['happy', 'very good'], 2]}",8.34,6.49
Happy. only expected to get 45 but got 60!,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
He feels great! He had a very large chance of only walking away with $45 but he beat the odds and walks away with a nice sum of $60,"{'great': [8.5, 8.5, ['great'], 1]}",8.5,8.5
Happy,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
Bob is very happy with $60. He wish he could have won more; but he is satisfied with the outcome of his spin.,"{'content': [7.94, 4.95, ['satisfied'], 1], 'fortunate': [7.09, 5.16, ['wish'], 1], 'happy': [9.22, 7.49, ['very happy'], 1]}",8.08,7.49
He would feel great about this spin because it did not land in the larger section for less payout.,"{'great': [8.5, 8.5, ['great'], 1]}",8.5,8.5
Chris must be happy he played and still got 60. i would be happy.,"{'happy': [8.22, 6.49, ['happy'], 2]}",8.22,6.49
I think Tom feels great about it.  The wheel very nearly landed on $45 dollars instead of $60.,"{'great': [8.5, 8.5, ['great'], 1]}",8.5,8.5
Nice. He wasn't expecting to win $90 anyway.,{},0,0
I'm sure he feels alright.  Winning $60 is a good win.  It wasn't the highest; but he had a better chance to win $45.  Solid win.,"{'content': [6.06, 4.7, ['alright'], 1], 'happy': [7.47, 5.43, ['good'], 1]}",6.77,5.43
Content with the amount that he won yet disappointed he could have won more,"{'content': [7.06, 4.7, ['content'], 1], 'disappointed': [2.39, 4.92, ['disappointed'], 1]}",4.73,4.92
Tom is overly excited to win $90. He is content and happy. ,"{'content': [7.06, 4.7, ['content'], 1], 'excited': [7.5, 7.67, ['excited'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",7.59,7.67
Bob could have won more; but he still got a decent amount; so he is satisfied. Things could have been worse; so he is happy; although a little disappointed he didn't get the big prize. ,"{'content': [7.0, 4.82, ['decent', 'satisfied'], 2], 'disappointed': [3.39, 5.92, ['a little disappointed'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",6.4,6.49
chris is ok with that.  the odds were on the least amount; which he 'beat.'  the wheel 'stopped' right in the middle of 60; so there was no extra tension about losing the 90.  if it had just crossed from the 45 to the 60; he would have felt greater relief than what he feels now; which is little to none.  60 is 2/3's of 90; so he's not really losing out on much.  so chris is ok with that.,"{'content': [6.06, 4.7, ['ok'], 2], 'fortunate': [7.09, 5.16, ['relief'], 1]}",6.41,5.16
I think he feels a bit relieved. The pointer was almost right on the boundary to the smallest amount.,"{'fortunate': [7.09, 5.16, ['relieved'], 1]}",7.09,5.16
I think Mike was excited and surprised since the pointer was most likely to have landed on the $45 spot due to its much larger size. He probably feels very lucky.,"{'excited': [7.5, 7.67, ['excited'], 1], 'surprised': [7.47, 7.47, ['surprised'], 1], 'fortunate': [9.17, 7.53, ['very lucky'], 1]}",8.05,7.67
Charlie is very happy and surprised he won $90.  It had the lowest odds of winning and was the highest amount.,"{'surprised': [7.47, 7.47, ['surprised'], 1], 'happy': [9.22, 7.49, ['very happy'], 1]}",8.34,7.49
He feels excited and happy for receiving the best possible outcome. He does not feel sad or disappointed. ,"{'sad': [5.37, 7.89, ['not sad'], 1], 'disappointed': [2.39, 4.92, ['disappointed'], 1], 'excited': [7.5, 7.67, ['excited'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",5.87,7.887
He's pretty excited - he got the highest amount and it had the smallest piece of the pie.  He feels pretty lucky.,"{'excited': [6.5, 6.67, ['a little excited'], 1], 'fortunate': [7.17, 5.53, ['a little lucky'], 1]}",6.84,6.67
Excited because he won the most amount of $ possible,"{'excited': [7.5, 7.67, ['excited'], 1]}",7.5,7.67
He's extremely happy that he won the largest amount. ,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49
Happy and lucky since the section was small and he could have gotten less money,"{'fortunate': [8.17, 6.53, ['lucky'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",8.2,6.53
He probably feels very lucky because he won the highest prize on the wheel.,"{'fortunate': [9.17, 7.53, ['very lucky'], 1]}",9.17,7.53
He is in a lost for words that he has a free 90 dollars to spend on whatever he likes.,{},0,0
George is extremely happy.   Top prize of $90 -- all his.   He feels like a winner.,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49
David feels great that he won the highest amount! He is very happy & excited.,"{'great': [8.5, 8.5, ['great'], 1], 'excited': [7.5, 7.67, ['excited'], 1], 'happy': [9.22, 7.49, ['very happy'], 1]}",8.41,8.5
He probably wishes he'd won more but all things considered it's better than nothing. ,"{'fortunate': [7.09, 5.16, ['wishes'], 1]}",7.09,5.16
good,"{'happy': [7.47, 5.43, ['good'], 1]}",7.47,5.43
happy. he won the most money possible when the odds were against him.,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
James is thrilled to win the largest amount of money.  It was unexpected; because the probability to land on that section was smaller than the others.,"{'happy': [8.06, 8.02, ['thrilled'], 1]}",8.06,8.02
He is extremely elated. The odds were significantly against him but despite this he came out on top!,"{'excited': [8.45, 7.21, ['very elated'], 1]}",8.45,7.21
Scott won the highest amount; so he is very thankful and happy. He could have got much lower; so he is happy where he is. ,"{'happy': [8.11, 6.11, ['very thankful', 'happy'], 3]}",8.11,6.49
Josh must be happy! He not only won the highest prize on the wheel; but it was the one with the lowest probability. He must feel very lucky.,"{'fortunate': [9.17, 7.53, ['very lucky'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",8.7,7.53
Josh is elated. He could not possibly have asked for a better result. He clutches his $90 and smiles his whole way home. ,"{'excited': [7.45, 6.21, ['elated'], 1]}",7.45,6.21
I think he is extremely happy because he wont the most amount possible.,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49
Chris is now feeling lucky; he won the highest prize this time. ,"{'fortunate': [8.17, 6.53, ['lucky'], 1]}",8.17,6.53
Mike is over the moon that the wheel actually landed on $90.  With it being such a small percent chance of it landing there; he felt certain that he wouldn't get it.  What a relief he feels!,"{'fortunate': [7.09, 5.16, ['relief'], 1]}",7.09,5.16
He is feeling good; he accomplished the hardest odds. It is very hard to get that ; with the space being small; and the award being high.,"{'happy': [7.47, 5.43, ['good'], 1]}",7.47,5.43
very happy!!!!,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49
Mike must feel amazing considering his win was the highest amount of money; $90; and he had the lowest chance of landing on that fraction of the wheel. He could not have asked for a better outcome. ,"{'great': [9.0, 6.0, ['amazing'], 1]}",9.0,6.0
Bob felt great about winning the 90 dollar prize.  It is the least likely; and highest value.,"{'great': [8.5, 8.5, ['great'], 1]}",8.5,8.5
He feels ecstatic; he was just expecting to get 45$ maybe 60 but ended up with 90,"{'excited': [8.66, 6.92, ['ecstatic'], 1]}",8.66,6.92
Excited that he got the most money by a slim margin,"{'excited': [7.5, 7.67, ['excited'], 1]}",7.5,7.67
Very happy.  He managed to land on the biggest amount on the smallest spot; so he's got to be feeling very happy with what he ended up with since the odds were definitely against it.,"{'happy': [9.22, 7.49, ['very happy'], 2]}",9.22,7.49
The player will be so ecstatic as it is the highest amount which can possibly be won on this board.,"{'excited': [8.66, 6.92, ['ecstatic'], 1]}",8.66,6.92
Jacob feels satisfied; but a little disappointed given the fact that he could have won much more. He is happy to take home $30 though.,"{'content': [7.94, 4.95, ['satisfied'], 1], 'disappointed': [3.39, 5.92, ['a little disappointed'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",6.52,6.49
Somewhat disappointed. It's the lowest amount possible but it was also the biggest spot; and therefore the most likely spot to land on.  However; it did take up less than half the board so there was a better than fifty percent chance he'd land on something bigger; money wise.,"{'disappointed': [3.39, 5.92, ['a little disappointed'], 1]}",3.39,5.92
He's probably kind of disappointed that that's the lowest prize; but if I was him I wouldn't be too surprised since that's the largest portion.,"{'disappointed': [3.39, 5.92, ['a little disappointed'], 1], 'surprised': [4.61, 4.61, ['not very surprised'], 1]}",4.0,5.92
He is happy but a little disappointed that he could not win the 50 or 90.,"{'disappointed': [3.39, 5.92, ['a little disappointed'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",5.81,6.49
He feels cheated because he was so close to getting $50.  That $30 section is so big so he was at least guaranteed that amount.  He probably wants to spin again!,"{'unfortunate': [2.0, 4.0, ['cheated'], 1]}",2.0,4.0
Eric is likely upset; as he won the lowest amount possible; and was very close to winning the highest amount.,"{'sad': [2.0, 5.86, ['upset'], 1]}",2.0,5.86
Going to buy me some tunes.  I will save the rest for a rainy day.  Maybe buy me some gum.,{},0,0
Just like before; contempt. The odds are in favor of hitting $30; so striking it shouldn't be a surprise.  ,"{'contempt': [3.85, 5.28, ['contempt'], 1]}",3.85,5.28
disappointed. won alot of money; but missed out on over 50% chance of making 50 or more,"{'disappointed': [2.39, 4.92, ['disappointed'], 1]}",2.39,4.92
david is happy.\ndavid is excited.\nhe wishes it was $90 or even $50.,"{'fortunate': [7.09, 5.16, ['wishes'], 1]}",7.09,5.16
He would feel ok about this spin because it landed on the largest section even though it was lowest payout.,"{'content': [6.06, 4.7, ['ok'], 1]}",6.06,4.7
John might be a little peeved that he didn't win the $90 prize and ended up winning the lowest price on the wheel. But he must have expected it would happen; because it's the prize with the highest probability.,{},0,0
He probably feels a little sad; since there was a pretty good chance he would earn $90. However; at least he can't lose money in this game.,"{'happy': [6.47, 4.43, ['a little good'], 1], 'sad': [2.62, 5.13, ['a little sad'], 1]}",4.54,5.13
Meh; Charlie could have win more money. But $30 is not bad. At least he got $30 more than Chris and Chris had double the chances.,"{'unfortunate': [5.25, 7.25, ['not bad'], 1]}",5.25,7.25
